Rent,Size,BHK,Bathroom,Furnishing Status,City
10000,700,2,2,Unfurnished,Kolkata
30000,2000,3,2,Semi-Furnished,Kolkata
3500,250,1,1,Semi-Furnished,Kolkata
8000,1100,2,1,Unfurnished,Kolkata
5000,300,1,1,Unfurnished,Kolkata
7500,600,2,1,Semi-Furnished,Kolkata
6500,800,2,1,Unfurnished,Kolkata
7500,680,1,1,Unfurnished,Kolkata
7500,680,1,1,Unfurnished,Kolkata
16000,850,2,1,Semi-Furnished,Kolkata
16000,850,2,1,Semi-Furnished,Kolkata
6500,700,2,1,Unfurnished,Kolkata
40000,1500,3,2,Unfurnished,Kolkata
12500,950,2,2,Semi-Furnished,Kolkata
5500,500,2,1,Unfurnished,Kolkata
5000,450,1,1,Semi-Furnished,Kolkata
6500,700,2,1,Unfurnished,Kolkata
8000,500,1,1,Unfurnished,Kolkata
14500,1800,3,2,Semi-Furnished,Kolkata
8200,500,1,1,Semi-Furnished,Kolkata
15000,480,2,2,Furnished,Kolkata
20000,1000,6,2,Semi-Furnished,Kolkata
6700,800,2,1,Furnished,Kolkata
10000,435,1,1,Unfurnished,Kolkata
7000,700,2,2,Semi-Furnished,Kolkata
22000,800,2,1,Furnished,Kolkata
6500,450,2,1,Unfurnished,Kolkata
8500,550,2,1,Semi-Furnished,Kolkata
18000,800,2,2,Unfurnished,Kolkata
12000,550,2,2,Semi-Furnished,Kolkata
9000,600,1,1,Furnished,Kolkata
6000,500,1,1,Unfurnished,Kolkata
20000,1000,2,2,Furnished,Kolkata
5000,300,1,1,Unfurnished,Kolkata
12000,1200,2,2,Furnished,Kolkata
10000,500,2,1,Semi-Furnished,Kolkata
18000,1200,4,2,Unfurnished,Kolkata
15000,900,2,2,Semi-Furnished,Kolkata
22000,1300,3,3,Unfurnished,Kolkata
35000,1600,4,3,Unfurnished,Kolkata
21000,1450,3,2,Unfurnished,Kolkata
25000,1100,2,2,Furnished,Kolkata
180000,950,2,2,Unfurnished,Kolkata
6000,600,1,1,Unfurnished,Kolkata
14000,700,2,2,Unfurnished,Kolkata
8000,750,3,1,Unfurnished,Kolkata
8000,1000,2,1,Unfurnished,Kolkata
6000,220,1,1,Furnished,Kolkata
8000,300,1,1,Semi-Furnished,Kolkata
6000,300,1,1,Unfurnished,Kolkata
20000,700,1,1,Semi-Furnished,Kolkata
12000,800,3,2,Unfurnished,Kolkata
15000,1600,3,2,Unfurnished,Kolkata
14000,1000,2,2,Unfurnished,Kolkata
5000,20,1,1,Unfurnished,Kolkata
7000,400,2,1,Unfurnished,Kolkata
3900,200,1,1,Furnished,Kolkata
14000,840,3,2,Unfurnished,Kolkata
6300,300,1,1,Unfurnished,Kolkata
13000,550,2,2,Furnished,Kolkata
6800,300,1,1,Unfurnished,Kolkata
8000,800,2,2,Unfurnished,Kolkata
10000,740,2,1,Unfurnished,Kolkata
18000,1300,2,2,Unfurnished,Kolkata
8000,650,2,1,Semi-Furnished,Kolkata
8000,490,2,1,Semi-Furnished,Kolkata
4700,250,1,1,Furnished,Kolkata
4700,250,1,1,Furnished,Kolkata
4500,450,1,1,Unfurnished,Kolkata
6000,300,1,1,Semi-Furnished,Kolkata
16000,750,2,2,Unfurnished,Kolkata
4700,250,1,1,Furnished,Kolkata
14000,751,2,1,Unfurnished,Kolkata
9000,900,2,1,Semi-Furnished,Kolkata
5000,400,2,1,Semi-Furnished,Kolkata
17500,1000,2,2,Semi-Furnished,Kolkata
8500,1000,2,1,Unfurnished,Kolkata
15000,1500,3,2,Semi-Furnished,Kolkata
12500,750,2,2,Unfurnished,Kolkata
13000,1200,1,1,Semi-Furnished,Kolkata
8000,700,2,1,Unfurnished,Kolkata
8000,700,2,1,Furnished,Kolkata
8000,1000,2,1,Semi-Furnished,Kolkata
7000,1200,2,2,Unfurnished,Kolkata
2200,550,2,1,Furnished,Kolkata
8000,800,2,1,Unfurnished,Kolkata
5500,280,2,1,Unfurnished,Kolkata
20000,1100,3,3,Unfurnished,Kolkata
7000,950,2,1,Unfurnished,Kolkata
3500,250,1,1,Furnished,Kolkata
5000,1000,2,1,Unfurnished,Kolkata
20000,1000,3,2,Semi-Furnished,Kolkata
7000,650,2,1,Unfurnished,Kolkata
10000,700,2,2,Unfurnished,Kolkata
7000,700,2,1,Unfurnished,Kolkata
12000,1000,3,2,Semi-Furnished,Kolkata
14500,900,2,2,Unfurnished,Kolkata
6000,700,1,1,Unfurnished,Kolkata
9500,700,2,2,Unfurnished,Kolkata
10000,450,2,2,Semi-Furnished,Kolkata
3500,120,1,1,Unfurnished,Kolkata
9000,800,2,2,Semi-Furnished,Kolkata
40000,1220,3,2,Unfurnished,Kolkata
16500,1100,3,1,Unfurnished,Kolkata
8000,700,3,2,Unfurnished,Kolkata
12000,800,2,1,Furnished,Kolkata
6500,670,2,1,Unfurnished,Kolkata
40000,1300,4,3,Unfurnished,Kolkata
5000,190,1,1,Semi-Furnished,Kolkata
9000,700,2,1,Semi-Furnished,Kolkata
7000,240,1,1,Unfurnished,Kolkata
18000,850,2,1,Semi-Furnished,Kolkata
9000,950,1,2,Unfurnished,Kolkata
5500,450,1,1,Furnished,Kolkata
7500,800,2,1,Unfurnished,Kolkata
4000,600,2,1,Unfurnished,Kolkata
10500,800,3,2,Unfurnished,Kolkata
15000,1100,3,2,Unfurnished,Kolkata
15000,800,2,1,Furnished,Kolkata
50000,2200,1,3,Furnished,Kolkata
12000,950,2,2,Unfurnished,Kolkata
11000,550,2,1,Unfurnished,Kolkata
12000,1800,2,2,Unfurnished,Kolkata
8000,1000,2,1,Furnished,Kolkata
18000,600,2,2,Semi-Furnished,Kolkata
8000,750,2,2,Semi-Furnished,Kolkata
7000,685,2,1,Unfurnished,Kolkata
6500,44,1,1,Furnished,Kolkata
13000,1200,4,1,Unfurnished,Kolkata
9000,500,2,1,Unfurnished,Kolkata
10000,1110,4,2,Unfurnished,Kolkata
12000,1000,2,2,Unfurnished,Kolkata
5000,392,2,1,Unfurnished,Kolkata
6000,700,2,1,Unfurnished,Kolkata
5200,750,1,1,Unfurnished,Kolkata
15000,1500,3,2,Unfurnished,Kolkata
9000,900,2,2,Unfurnished,Kolkata
24000,710,1,1,Furnished,Kolkata
5500,400,1,1,Unfurnished,Kolkata
10000,700,1,1,Unfurnished,Kolkata
15000,1000,2,1,Semi-Furnished,Kolkata
4700,250,1,1,Furnished,Kolkata
5000,500,1,1,Semi-Furnished,Kolkata
5000,450,2,1,Semi-Furnished,Kolkata
15000,1400,3,1,Unfurnished,Kolkata
5000,500,1,1,Semi-Furnished,Kolkata
6000,700,2,1,Unfurnished,Kolkata
18000,1200,3,1,Semi-Furnished,Kolkata
8000,450,2,1,Unfurnished,Kolkata
13000,500,1,1,Furnished,Kolkata
7500,400,2,1,Unfurnished,Kolkata
12000,1000,3,2,Unfurnished,Kolkata
11000,750,2,1,Unfurnished,Kolkata
6000,450,1,1,Unfurnished,Kolkata
20000,1000,3,2,Unfurnished,Kolkata
7000,500,2,2,Unfurnished,Kolkata
30000,1600,4,2,Unfurnished,Kolkata
7500,550,2,1,Unfurnished,Kolkata
6500,550,1,2,Unfurnished,Kolkata
3000,200,1,1,Unfurnished,Kolkata
5200,650,2,1,Unfurnished,Kolkata
25000,1000,2,2,Furnished,Kolkata
12500,680,2,2,Unfurnished,Kolkata
8500,720,2,2,Unfurnished,Kolkata
3500,500,2,1,Unfurnished,Kolkata
7000,800,2,1,Unfurnished,Kolkata
3000,160,1,1,Unfurnished,Kolkata
14000,1200,2,2,Unfurnished,Kolkata
18000,700,1,1,Furnished,Kolkata
3500,1000,1,1,Semi-Furnished,Kolkata
16000,1250,2,2,Unfurnished,Kolkata
35000,1600,4,3,Unfurnished,Kolkata
21000,700,2,1,Semi-Furnished,Kolkata
4500,450,1,1,Unfurnished,Kolkata
15000,839,2,2,Semi-Furnished,Kolkata
4500,230,1,1,Unfurnished,Kolkata
5500,1800,1,1,Unfurnished,Kolkata
8500,800,2,2,Unfurnished,Kolkata
5000,500,1,1,Semi-Furnished,Kolkata
8500,620,2,1,Unfurnished,Kolkata
9000,650,2,1,Unfurnished,Kolkata
7500,550,1,1,Semi-Furnished,Kolkata
7000,450,2,2,Furnished,Kolkata
15000,1350,3,2,Unfurnished,Kolkata
7000,600,2,2,Semi-Furnished,Kolkata
10000,1200,3,1,Furnished,Kolkata
7000,700,2,1,Unfurnished,Kolkata
3200,800,3,2,Furnished,Kolkata
6000,600,2,1,Semi-Furnished,Kolkata
12000,900,2,2,Unfurnished,Kolkata
6000,750,2,1,Unfurnished,Kolkata
10000,1250,3,2,Unfurnished,Kolkata
12000,1000,3,3,Semi-Furnished,Kolkata
8000,600,2,1,Semi-Furnished,Kolkata
5300,650,2,1,Unfurnished,Kolkata
5000,450,2,1,Unfurnished,Kolkata
8500,800,3,2,Unfurnished,Kolkata
22000,1000,3,2,Semi-Furnished,Kolkata
7000,1000,2,1,Unfurnished,Kolkata
25000,1400,3,3,Furnished,Kolkata
7000,600,2,1,Semi-Furnished,Kolkata
15000,723,2,1,Furnished,Kolkata
6000,320,1,1,Unfurnished,Kolkata
8000,900,2,1,Semi-Furnished,Kolkata
40000,1400,3,2,Furnished,Kolkata
6000,2160,1,1,Semi-Furnished,Kolkata
15000,650,2,1,Semi-Furnished,Kolkata
6500,800,2,1,Semi-Furnished,Kolkata
8000,800,3,1,Semi-Furnished,Kolkata
5500,500,1,1,Unfurnished,Kolkata
9000,1700,3,2,Semi-Furnished,Kolkata
6000,130,1,1,Semi-Furnished,Kolkata
15000,505,1,1,Furnished,Kolkata
30000,4000,4,3,Furnished,Kolkata
30000,1250,3,2,Unfurnished,Kolkata
5000,700,1,1,Unfurnished,Kolkata
15000,900,2,1,Unfurnished,Kolkata
6500,650,1,1,Semi-Furnished,Kolkata
4500,750,2,1,Furnished,Kolkata
7000,450,2,1,Unfurnished,Kolkata
6500,350,1,1,Semi-Furnished,Kolkata
17500,480,1,2,Furnished,Kolkata
10000,900,2,1,Unfurnished,Kolkata
1500,200,1,1,Semi-Furnished,Kolkata
25000,1100,3,3,Unfurnished,Kolkata
12000,800,2,1,Unfurnished,Kolkata
7500,1000,3,2,Furnished,Kolkata
7000,800,1,1,Unfurnished,Kolkata
3500,200,1,1,Semi-Furnished,Kolkata
10000,1190,3,2,Unfurnished,Kolkata
14000,900,2,2,Unfurnished,Kolkata
15000,1500,2,2,Unfurnished,Kolkata
6500,600,2,1,Unfurnished,Kolkata
10000,800,3,1,Unfurnished,Kolkata
10500,800,2,2,Unfurnished,Kolkata
10000,900,3,2,Semi-Furnished,Kolkata
5000,350,1,1,Semi-Furnished,Kolkata
9000,800,2,1,Unfurnished,Kolkata
20000,1600,2,2,Unfurnished,Kolkata
35000,1012,3,2,Semi-Furnished,Kolkata
15000,1200,3,2,Unfurnished,Kolkata
20000,700,2,1,Furnished,Kolkata
12000,1000,2,1,Semi-Furnished,Kolkata
8000,800,2,1,Unfurnished,Kolkata
3000,500,1,1,Semi-Furnished,Kolkata
20000,1200,3,2,Semi-Furnished,Kolkata
9000,450,1,1,Unfurnished,Kolkata
13000,950,3,2,Unfurnished,Kolkata
7000,350,1,1,Unfurnished,Kolkata
9000,450,1,1,Unfurnished,Kolkata
9000,550,1,1,Semi-Furnished,Kolkata
10000,300,2,1,Unfurnished,Kolkata
15000,1250,3,2,Semi-Furnished,Kolkata
7000,700,2,1,Unfurnished,Kolkata
8000,812,3,2,Unfurnished,Kolkata
8000,550,2,1,Unfurnished,Kolkata
5000,500,1,1,Semi-Furnished,Kolkata
14000,320,1,1,Furnished,Kolkata
5000,600,2,1,Unfurnished,Kolkata
5000,420,2,1,Unfurnished,Kolkata
12000,1100,3,1,Unfurnished,Kolkata
3200,220,1,1,Unfurnished,Kolkata
8500,700,2,2,Semi-Furnished,Kolkata
16000,1200,3,2,Unfurnished,Kolkata
14000,800,2,2,Unfurnished,Kolkata
8000,300,1,1,Furnished,Kolkata
7000,650,2,1,Unfurnished,Kolkata
8000,600,1,1,Furnished,Kolkata
3000,350,1,1,Unfurnished,Kolkata
3800,500,1,1,Unfurnished,Kolkata
6500,400,1,1,Unfurnished,Kolkata
20000,1750,3,3,Semi-Furnished,Kolkata
30000,1600,3,2,Unfurnished,Kolkata
8000,300,1,1,Semi-Furnished,Kolkata
14000,1100,2,2,Semi-Furnished,Kolkata
7200,830,2,1,Unfurnished,Kolkata
7000,600,2,2,Semi-Furnished,Kolkata
7000,500,1,2,Unfurnished,Kolkata
7500,900,2,1,Unfurnished,Kolkata
8500,1250,2,2,Unfurnished,Kolkata
12000,700,2,1,Unfurnished,Kolkata
8500,850,1,2,Unfurnished,Kolkata
9500,550,2,1,Unfurnished,Kolkata
7500,550,2,2,Furnished,Kolkata
12000,1200,2,1,Unfurnished,Kolkata
20000,1100,3,2,Unfurnished,Kolkata
8500,650,2,1,Semi-Furnished,Kolkata
20000,1050,3,2,Unfurnished,Kolkata
6000,960,2,2,Semi-Furnished,Kolkata
5500,650,2,2,Unfurnished,Kolkata
7000,550,1,1,Semi-Furnished,Kolkata
7000,500,2,2,Semi-Furnished,Kolkata
6500,450,1,1,Unfurnished,Kolkata
10000,850,2,2,Unfurnished,Kolkata
5200,300,1,1,Unfurnished,Kolkata
13000,1000,2,3,Semi-Furnished,Kolkata
7000,500,2,1,Unfurnished,Kolkata
12000,756,2,1,Semi-Furnished,Kolkata
15000,1000,1,1,Unfurnished,Kolkata
5000,150,1,1,Unfurnished,Kolkata
8000,800,1,1,Unfurnished,Kolkata
8000,700,2,2,Unfurnished,Kolkata
5000,420,1,1,Unfurnished,Kolkata
10000,800,2,1,Unfurnished,Kolkata
12000,288,2,1,Unfurnished,Kolkata
8000,900,2,2,Unfurnished,Kolkata
21000,850,2,2,Unfurnished,Kolkata
5000,350,1,1,Unfurnished,Kolkata
9000,600,2,1,Unfurnished,Kolkata
8000,1600,2,1,Semi-Furnished,Kolkata
7000,986,2,1,Unfurnished,Kolkata
35000,1330,3,2,Unfurnished,Kolkata
15000,1300,3,2,Semi-Furnished,Kolkata
6200,800,2,1,Unfurnished,Kolkata
9900,800,2,1,Unfurnished,Kolkata
7000,850,2,1,Unfurnished,Kolkata
5000,322,1,1,Unfurnished,Kolkata
6500,800,2,1,Furnished,Kolkata
40000,1500,4,2,Unfurnished,Kolkata
40000,3500,3,2,Semi-Furnished,Kolkata
12000,957,2,2,Furnished,Kolkata
6500,850,1,1,Unfurnished,Kolkata
10000,900,2,2,Unfurnished,Kolkata
15000,600,2,1,Semi-Furnished,Kolkata
5000,350,1,1,Semi-Furnished,Kolkata
7000,800,2,1,Unfurnished,Kolkata
6000,320,2,1,Unfurnished,Kolkata
15000,800,3,1,Unfurnished,Kolkata
10000,700,2,2,Semi-Furnished,Kolkata
22000,1200,2,2,Semi-Furnished,Kolkata
8500,750,2,1,Semi-Furnished,Kolkata
35000,1200,3,3,Semi-Furnished,Kolkata
7000,450,2,1,Unfurnished,Kolkata
8500,1430,3,1,Semi-Furnished,Kolkata
6000,450,2,1,Unfurnished,Kolkata
35000,800,4,3,Semi-Furnished,Kolkata
6000,400,1,1,Unfurnished,Kolkata
8000,650,2,1,Unfurnished,Kolkata
5000,450,1,1,Unfurnished,Kolkata
6000,600,2,1,Unfurnished,Kolkata
15000,1200,3,2,Unfurnished,Kolkata
9000,700,2,1,Unfurnished,Kolkata
5000,300,1,1,Unfurnished,Kolkata
8000,1200,3,3,Unfurnished,Kolkata
35000,1300,3,2,Unfurnished,Kolkata
5500,400,1,1,Unfurnished,Kolkata
35000,1320,3,2,Unfurnished,Kolkata
11000,1000,2,2,Furnished,Kolkata
10000,700,2,1,Unfurnished,Kolkata
6500,800,2,2,Unfurnished,Kolkata
6000,900,2,1,Furnished,Kolkata
36125,1700,3,2,Unfurnished,Kolkata
6800,600,2,1,Unfurnished,Kolkata
8500,850,2,2,Unfurnished,Kolkata
5000,550,2,1,Unfurnished,Kolkata
6500,650,1,1,Furnished,Kolkata
6500,800,1,1,Unfurnished,Kolkata
4500,475,2,1,Unfurnished,Kolkata
6000,200,1,1,Unfurnished,Kolkata
10000,400,1,1,Unfurnished,Kolkata
12000,500,1,1,Furnished,Kolkata
12000,550,2,1,Unfurnished,Kolkata
12000,800,2,1,Unfurnished,Kolkata
9000,1000,2,2,Furnished,Kolkata
5000,400,1,1,Semi-Furnished,Kolkata
6000,300,1,1,Unfurnished,Kolkata
5500,450,2,1,Unfurnished,Kolkata
5500,450,2,1,Unfurnished,Kolkata
8500,1100,2,2,Unfurnished,Kolkata
5000,450,1,1,Unfurnished,Kolkata
23000,1100,2,2,Unfurnished,Kolkata
5500,650,2,1,Unfurnished,Kolkata
8500,780,2,1,Unfurnished,Kolkata
22000,1100,3,2,Semi-Furnished,Kolkata
5500,800,1,1,Unfurnished,Kolkata
7000,500,1,2,Semi-Furnished,Kolkata
5000,400,1,1,Unfurnished,Kolkata
5000,450,1,1,Unfurnished,Kolkata
6500,550,2,1,Unfurnished,Kolkata
8000,600,2,1,Unfurnished,Kolkata
5500,200,1,1,Unfurnished,Kolkata
6000,500,2,1,Semi-Furnished,Kolkata
5500,450,1,1,Unfurnished,Kolkata
10000,1050,2,2,Unfurnished,Kolkata
10000,1000,3,2,Unfurnished,Kolkata
10000,1200,2,2,Semi-Furnished,Kolkata
12000,1100,3,2,Semi-Furnished,Kolkata
5200,220,1,1,Unfurnished,Kolkata
4000,350,1,1,Unfurnished,Kolkata
30000,1100,3,1,Unfurnished,Kolkata
5146,800,2,1,Unfurnished,Kolkata
12000,950,2,1,Unfurnished,Kolkata
7000,1200,3,1,Unfurnished,Kolkata
8500,700,2,1,Semi-Furnished,Kolkata
7000,500,1,1,Unfurnished,Kolkata
9500,570,2,1,Unfurnished,Kolkata
8000,650,2,1,Unfurnished,Kolkata
15000,1200,3,3,Unfurnished,Kolkata
22500,960,5,2,Unfurnished,Kolkata
12500,1250,2,2,Semi-Furnished,Kolkata
34000,120,3,2,Furnished,Kolkata
14000,950,3,2,Semi-Furnished,Kolkata
9500,600,1,1,Unfurnished,Kolkata
7000,750,2,1,Unfurnished,Kolkata
20000,1200,3,2,Unfurnished,Kolkata
6500,400,1,1,Semi-Furnished,Kolkata
7500,600,1,1,Furnished,Kolkata
6500,700,2,1,Unfurnished,Kolkata
9500,850,2,1,Semi-Furnished,Kolkata
1800,500,1,1,Semi-Furnished,Kolkata
7500,650,2,1,Unfurnished,Kolkata
10000,800,2,2,Semi-Furnished,Kolkata
15000,830,3,2,Unfurnished,Kolkata
7000,600,2,1,Unfurnished,Kolkata
6000,800,2,1,Unfurnished,Kolkata
14000,1200,2,2,Semi-Furnished,Kolkata
22000,1000,2,2,Furnished,Kolkata
18000,750,2,2,Unfurnished,Kolkata
10000,800,2,2,Unfurnished,Kolkata
6000,1200,2,2,Unfurnished,Kolkata
10000,750,2,1,Unfurnished,Kolkata
10000,1500,3,2,Semi-Furnished,Kolkata
5000,300,1,1,Unfurnished,Kolkata
10000,800,3,1,Unfurnished,Kolkata
7000,450,2,2,Unfurnished,Kolkata
10000,1200,4,2,Furnished,Kolkata
6000,500,2,2,Semi-Furnished,Kolkata
18000,900,2,2,Semi-Furnished,Kolkata
8000,460,2,1,Unfurnished,Kolkata
8000,530,2,1,Semi-Furnished,Kolkata
13000,650,2,2,Semi-Furnished,Kolkata
20000,700,2,2,Semi-Furnished,Kolkata
6000,400,2,1,Unfurnished,Kolkata
12000,1000,2,2,Unfurnished,Kolkata
10000,400,1,1,Semi-Furnished,Kolkata
14000,700,2,2,Unfurnished,Kolkata
10000,850,2,2,Semi-Furnished,Kolkata
10500,558,2,2,Unfurnished,Kolkata
6000,800,2,1,Unfurnished,Kolkata
12000,900,2,2,Unfurnished,Kolkata
14000,1600,3,2,Furnished,Kolkata
3700,150,1,1,Unfurnished,Kolkata
40000,1600,3,2,Unfurnished,Kolkata
25000,1000,3,1,Unfurnished,Kolkata
2200,700,1,1,Unfurnished,Kolkata
3300,175,1,1,Unfurnished,Kolkata
5000,450,1,1,Semi-Furnished,Kolkata
60000,1700,3,3,Semi-Furnished,Kolkata
6000,425,2,1,Unfurnished,Kolkata
7000,900,3,3,Semi-Furnished,Kolkata
5000,400,1,1,Unfurnished,Kolkata
11000,600,2,1,Unfurnished,Kolkata
10000,721,2,2,Furnished,Kolkata
22000,1150,3,2,Unfurnished,Kolkata
65000,2210,3,3,Unfurnished,Kolkata
7500,675,2,1,Unfurnished,Kolkata
45000,1320,2,2,Furnished,Kolkata
5000,250,1,1,Unfurnished,Kolkata
12000,720,2,2,Unfurnished,Kolkata
25000,1880,5,2,Unfurnished,Kolkata
18000,850,3,3,Semi-Furnished,Kolkata
25000,1050,2,2,Unfurnished,Kolkata
25000,320,1,1,Semi-Furnished,Mumbai
70000,750,2,2,Furnished,Mumbai
45000,450,1,1,Furnished,Mumbai
75000,1100,3,3,Unfurnished,Mumbai
14000,640,1,1,Furnished,Mumbai
60000,650,1,1,Unfurnished,Mumbai
160000,800,2,2,Unfurnished,Mumbai
300000,1600,4,5,Semi-Furnished,Mumbai
22000,460,1,1,Unfurnished,Mumbai
130000,1650,4,4,Semi-Furnished,Mumbai
33000,480,1,2,Semi-Furnished,Mumbai
32000,500,1,2,Furnished,Mumbai
30000,490,1,2,Semi-Furnished,Mumbai
49000,620,1,1,Furnished,Mumbai
28000,518,2,2,Semi-Furnished,Mumbai
33500,700,2,2,Semi-Furnished,Mumbai
85000,777,2,2,Semi-Furnished,Mumbai
35000,650,2,2,Unfurnished,Mumbai
270000,1800,3,4,Semi-Furnished,Mumbai
400000,2308,5,5,Furnished,Mumbai
21000,425,1,2,Unfurnished,Mumbai
150000,890,2,2,Unfurnished,Mumbai
22000,270,1,1,Unfurnished,Mumbai
100000,850,2,2,Semi-Furnished,Mumbai
60000,888,2,2,Semi-Furnished,Mumbai
8000,650,2,2,Semi-Furnished,Mumbai
20000,275,1,1,Unfurnished,Mumbai
20000,700,2,2,Semi-Furnished,Mumbai
25000,375,1,1,Unfurnished,Mumbai
14000,424,1,1,Semi-Furnished,Mumbai
19411,400,1,2,Furnished,Mumbai
23000,450,1,1,Furnished,Mumbai
190000,2079,4,5,Semi-Furnished,Mumbai
32000,586,2,1,Semi-Furnished,Mumbai
68000,610,2,2,Furnished,Mumbai
30000,488,1,2,Semi-Furnished,Mumbai
110000,1200,3,3,Semi-Furnished,Mumbai
44000,722,2,2,Semi-Furnished,Mumbai
20000,450,1,1,Unfurnished,Mumbai
25000,500,1,2,Semi-Furnished,Mumbai
40000,680,2,2,Furnished,Mumbai
43000,1150,2,2,Unfurnished,Mumbai
44000,830,2,2,Furnished,Mumbai
75000,550,1,1,Furnished,Mumbai
32000,470,1,2,Semi-Furnished,Mumbai
16000,410,1,2,Semi-Furnished,Mumbai
65000,710,2,2,Semi-Furnished,Mumbai
45000,750,2,2,Semi-Furnished,Mumbai
57000,800,2,2,Unfurnished,Mumbai
27000,435,1,2,Unfurnished,Mumbai
57000,500,1,1,Semi-Furnished,Mumbai
55000,800,2,2,Furnished,Mumbai
40000,540,1,2,Semi-Furnished,Mumbai
95000,1050,2,2,Unfurnished,Mumbai
85000,700,2,2,Semi-Furnished,Mumbai
300000,1600,4,4,Semi-Furnished,Mumbai
80000,600,2,1,Furnished,Mumbai
13000,300,1,2,Unfurnished,Mumbai
28000,550,1,2,Unfurnished,Mumbai
89000,932,3,3,Semi-Furnished,Mumbai
28000,450,1,2,Unfurnished,Mumbai
13000,600,2,2,Unfurnished,Mumbai
24000,424,1,2,Unfurnished,Mumbai
38000,560,2,2,Furnished,Mumbai
32000,450,1,2,Unfurnished,Mumbai
350000,3000,4,5,Semi-Furnished,Mumbai
40000,600,1,2,Furnished,Mumbai
150000,1400,3,3,Furnished,Mumbai
45000,630,2,2,Unfurnished,Mumbai
170000,1400,3,3,Unfurnished,Mumbai
30000,320,1,1,Furnished,Mumbai
210000,1000,2,2,Unfurnished,Mumbai
75000,1150,3,3,Unfurnished,Mumbai
47000,751,2,2,Semi-Furnished,Mumbai
14000,570,2,2,Furnished,Mumbai
55000,696,2,2,Semi-Furnished,Mumbai
120000,1600,4,4,Unfurnished,Mumbai
300000,2500,3,3,Semi-Furnished,Mumbai
70000,1150,3,3,Unfurnished,Mumbai
150000,1500,3,4,Semi-Furnished,Mumbai
62000,950,3,3,Furnished,Mumbai
42000,750,2,2,Unfurnished,Mumbai
130000,715,2,2,Furnished,Mumbai
170000,1337,3,3,Furnished,Mumbai
20000,737,3,3,Semi-Furnished,Mumbai
41000,750,2,2,Unfurnished,Mumbai
65000,760,2,2,Semi-Furnished,Mumbai
50000,750,2,2,Semi-Furnished,Mumbai
85000,650,2,2,Semi-Furnished,Mumbai
50000,1000,2,2,Semi-Furnished,Mumbai
30000,570,1,1,Unfurnished,Mumbai
120000,900,2,2,Semi-Furnished,Mumbai
60000,760,2,2,Unfurnished,Mumbai
